Time,Light Intensity
0,91
12,90
25,91
37,91
50,91
63,91
75,91
87,91
99,91
113,91
125,91
137,91
150,91
162,91
175,91
187,92
200,91
212,91
224,91
237,91
250,91
262,91
275,91
287,91
299,91
312,91
325,91
337,91
349,91
362,91
375,91
387,91
400,91
414,91
427,503
441,91
455,92
467,92
479,91
492,92
504,92
517,91
530,91
542,90
554,91
566,91
580,92
592,92
604,91
617,91
629,91
642,91
654,91
667,91
679,91
691,91
704,91
717,91
729,92
741,91
754,91
766,91
779,91
792,91
804,91
816,92
829,91
842,91
854,91
866,91
879,91
891,91
903,91
917,91
929,91
942,91
955,91
969,498
983,91
996,93
1009,91
1021,91
1033,91
1047,91
1059,91
1071,91
1083,91
1096,91
1109,91
1121,91
1134,91
1146,91
1158,91
1171,91
1184,91
1196,90
1208,91
1221,91
1233,92
1246,91
1259,91
1271,91
1283,91
1295,91
1309,91
1321,91
1333,91
1346,91
1358,91
1370,91
1384,92
1396,91
1408,91
1420,91
1433,90
1446,91
1458,91
1471,91
1484,91
1497,91
1512,91
1525,510
1538,95
1550,91
1563,91
1576,91
1588,91
1601,91
1613,91
1625,91
1638,91
1651,92
1663,91
1675,91
1688,91
1700,91
1713,91
1726,91
1738,91
1750,91
1762,91
1776,91
1788,91
1800,92
1813,91
1825,91
1838,91
1850,91
1863,91
1875,91
1887,91
1900,91
1913,91
1925,91
1938,91
1950,91
1962,91
1975,91
1988,91
2000,91
2012,91
2025,91
2039,91
2052,91
2066,505
2079,91
2092,92
2105,91
2118,91
2130,91
2142,91
2155,90
2167,91
2180,91
2192,91
2205,91
2217,91
2229,91
2243,90
2255,90
2267,91
2280,91
2292,92
2305,91
2317,91
2330,90
2342,91
2354,91
2367,91
2380,91
2392,91
2404,91
2417,91
2429,91
2442,91
2455,91
2467,91
2479,90
2491,91
2505,90
2517,91
2529,91
2542,91
2554,91
2566,91
2581,91
2594,91
2607,492
2621,91
2634,93
2647,92
2659,90
2672,90
2684,92
2696,91
2710,92
2722,91
2734,91
2746,91
2759,91
2772,91
2784,91
2797,90
2809,91
2821,90
2834,91
2847,91
2859,91
2871,90
2884,90
2896,91
2909,91
2922,91
2934,91
2946,92
2958,91
2972,91
2984,90
2996,91
3009,91
3021,91
3033,91
3046,91
3059,91
3071,91
3083,91
3096,91
3109,91
3122,91
3136,91
3149,486
3162,91
3177,92
3189,91
3201,91
3213,91
3226,91
3239,91
3251,90
3264,91
3276,91
3288,91
3300,90
3314,91
3326,91
3338,91
3351,91
3363,91
3376,90
3389,91
3401,91
3413,91
3425,91
3439,91
3451,91
3463,91
3476,91
3488,91
3500,91
3513,91
3526,91
3538,91
3550,91
3563,91
3576,91
3588,91
3600,91
3613,91
3625,91
3638,91
3651,91
3663,91
3676,91
3690,91
3704,499
3717,91
3731,92
3743,91
3755,91
3768,92
3781,91
3793,91
3805,90
3818,91
3830,91
3843,91
3855,91
3868,91
3880,91
3892,91
3906,91
3918,91
3930,91
3942,91
3955,90
3968,91
3980,91
3993,91
4005,92
4017,91
4030,90
4043,91
4055,91
4067,91
4080,91
4092,91
4105,91
4118,91
4130,91
4142,91
4154,90
4168,91
4180,91
4192,91
4205,91
4218,91
4231,91
4246,494
4259,91
4272,93
4285,92
4297,91
4310,91
4322,91
4335,91
4347,91
4359,91
4373,90
4385,91
4397,91
4409,91
4422,92
4435,91
4447,90
4460,91
4472,91
4484,91
4496,91
4510,90
4522,91
4534,91
4547,91
4559,91
4572,90
4585,90
4597,91
4609,91
4621,90
4635,91
4647,91
4659,91
4672,91
4684,91
4696,90
4709,91
4722,91
4734,91
4746,92
4759,91
4773,91
4786,91
4800,506
4813,91
4826,92
4840,91
4852,91
4864,91
4876,90
4889,91
4902,91
4914,90
