Start Point,End Point,Steps,Distance (m),Time (s),Path,Specific Path
시작점,매점,232,141.4,171.0,시작점 → 매점,시작점 → 계단 1 → 복도 1 → 매점
시작점,매점,180,140.2,111.0,시작점 → 매점,시작점 → 복도 4 → 계단 2 → 복도 1 → 매점
시작점,매점,159,128.3,97.0,시작점 → 매점,시작점 → 복도 4 → 계단 3 → 복도 1 → 매점
시작점,매점,180,140.2,111.0,시작점 → 매점,시작점 → 복도 4 → 계단 2 → 복도 1 → 매점
시작점,매점,159,128.3,97.0,시작점 → 매점,시작점 → 복도 4 → 계단 3 → 복도 1 → 매점
시작점,매점,232,141.4,171.0,시작점 → 매점,시작점 → 계단 1 → 복도 1 → 매점
시작점,매점,159,128.3,97.0,시작점 → 매점,시작점 → 복도 4 → 계단 3 → 복도 1 → 매점
시작점,매점,232,141.4,171.0,시작점 → 매점,시작점 → 계단 1 → 복도 1 → 매점
시작점,매점,159,128.3,97.0,시작점 → 매점,시작점 → 복도 4 → 계단 3 → 복도 1 → 매점
시작점,매점,159,128.3,97.0,시작점 → 매점,시작점 → 복도 4 → 계단 3 → 복도 1 → 매점
시작점,도서관,220,160.0,172.0,시작점 → 도서관,시작점 → 도서관 계단 → 복도 2 → 도서관
시작점,도서관,175,158.2,109.0,시작점 → 도서관,시작점 → 복도 4 → 계단 2 → 복도 2 → 도서관
시작점,도서관,175,158.2,109.0,시작점 → 도서관,시작점 → 복도 4 → 계단 2 → 복도 2 → 도서관
시작점,도서관,157,145.3,95.0,시작점 → 도서관,시작점 → 복도 4 → 계단 3 → 복도 2 → 도서관
시작점,도서관,157,145.3,95.0,시작점 → 도서관,시작점 → 복도 4 → 계단 3 → 복도 2 → 도서관
시작점,도서관,220,160.0,172.0,시작점 → 도서관,시작점 → 도서관 계단 → 복도 2 → 도서관
시작점,도서관,175,158.2,109.0,시작점 → 도서관,시작점 → 복도 4 → 계단 2 → 복도 2 → 도서관
시작점,도서관,157,145.3,95.0,시작점 → 도서관,시작점 → 복도 4 → 계단 3 → 복도 2 → 도서관
시작점,도서관,157,145.3,95.0,시작점 → 도서관,시작점 → 복도 4 → 계단 3 → 복도 2 → 도서관
시작점,도서관,157,145.3,95.0,시작점 → 도서관,시작점 → 복도 4 → 계단 3 → 복도 2 → 도서관
